,Date,Open,High,Low,Close,Volume
count,6097,6097.0,6097.0,6097.0,6097.0,6097.0
mean,2013-04-09 13:59:09.220928256,1208.4437428393558,1214.5958344351761,1202.062850589261,1208.425093851188,4377.673609972117
min,2001-01-02 00:00:00,255.0,256.1000061035156,255.0,255.1000061035156,0.0
25%,2007-03-23 00:00:00,659.0999755859375,660.7999877929688,658.0,659.0,24.0
50%,2013-04-16 00:00:00,1246.4000244140625,1252.199951171875,1240.699951171875,1246.300048828125,114.0
75%,2019-05-09 00:00:00,1657.0,1664.4000244140625,1645.300048828125,1656.4000244140625,428.0
max,2025-05-30 00:00:00,3422.199951171875,3485.60009765625,3364.699951171875,3411.39990234375,386334.0
std,,616.8508139426693,620.5464135042222,613.189065018373,616.9690110288296,24485.6028819093
